S. G. enterprises
Phone No: 8756917364


Stock Summary Report
Dated: 22/02/2023 - 02/05/2027
Total Stock Value: 864631.0


Name,Batch No.,Item Code,Purchase Price,Selling Price,Stock Quantity,Stock Value,Item Category Name,MRP
check nut chandan,,"",8.25,13.0,157.0 PCS,1295.25,"",0.0
chidiya pvc,,"",72.0,95.0,5.0 BOX,360.0,"",0.0
chimta agla metro,,"",214.0,225.0,18.0 BOX,3852.0,"",0.0
china nozel,,"",5.75,9.0,401.0 PCS,2305.75,"",0.0
china nozel black,,"",7.75,10.0,13.0 PCS,100.75,"",0.0
china nozel red,,"",5.0,8.0,0.0 PCS,0.0,"",0.0
china pin black,,"",225.0,250.0,4.0 PKT,900.0,"",0.0
china pin white,,"",200.0,220.0,0.0 PKT,0.0,"",0.0
china pump handle,,"",10.0,20.0,-15.0 PCS,-150.0,"",0.0
chirma ribit,,"",95.0,130.0,9.0 BOX,855.0,"",0.0
chirma rivit 100 pc,,"",21.0,26.0,23.0 PKT,483.0,"",0.0
clutch 311 sada 2 set,,"",74.0,90.0,11.0 BOX,814.0,"",0.0
clutch 329 rajiv,,"",50.0,68.0,7.0 PAIR,350.0,"",0.0
clutch heavy full loha,,"",58.0,70.0,50.0 PAIR,2900.0,"",0.0
clutch kid black ,,"",14.0,32.0,30.0 PAIR,420.0,"",0.0
clutch kid color,,"",16.0,32.0,78.0 PAIR,1248.0,"",0.0
clutch left power rajiv,,"",50.0,68.0,5.0 PAIR,250.0,"",0.0
clutch power 329,,"",45.0,65.0,-7.0 PAIR,-315.0,"",0.0
clutch power left ,,"",44.0,65.0,0.0 PCS,0.0,"",0.0
clutch uplift,,"",55.0,68.0,28.0 PCS,1540.0,"",0.0
cotter pin over ,,"",157.0,180.0,2.76 BOX,433.32,"",0.0
cotter pin std. ,,"",152.0,165.0,18.22 PCS,2769.44,"",0.0
crank 20 inch ,,"",43.0,53.0,8.0 PCS,344.0,"",0.0
crank 22 inch,,"",42.0,55.0,55.0 PCS,2310.0,"",0.0
crank china,,"",55.0,105.0,0.0 PCS,0.0,"",0.0
crank opener,,"",45.0,65.0,2.0 PCS,90.0,"",0.0
crown soker,,"",820.0,900.0,0.0 PCS,0.0,"",0.0
cycle 16.140 turbo,,"",1250.0,1400.0,0.0 PCS,0.0,"",0.0
cycle 16.240 sparkle,,"",1350.0,1600.0,0.0 PCS,0.0,"",0.0
cycle 20.240 solid ultra,,"",1850.0,2100.0,0.0 PCS,0.0,"",0.0
cycle 26.240 disc goal,,"",3600.0,3850.0,0.0 PCS,0.0,"",0.0
cycle 26.240 power goal,,"",2850.0,3050.0,0.0 PCS,0.0,"",0.0
cycle 26.300 ar goal,,"",3800.0,4350.0,0.0 PCS,0.0,"",0.0
cycle Sunbird 20inch,,"",2950.0,3170.0,0.0 PCS,0.0,"",0.0
cycle atlas lady,,"",2970.0,3250.0,0.0 PCS,0.0,"",0.0
cycle goal dlx,,"",5250.0,5300.0,0.0 PCS,0.0,"",0.0
cycle panda solid dabang,,"",1840.0,1950.0,0.0 PCS,0.0,"",0.0
cycle sunbird 22inch,,"",2830.0,3050.0,0.0 PCS,0.0,"",0.0
dhura agla uplift,,"",155.0,180.0,19.0 BOX,2945.0,"",0.0
dhura baljit,,"",163.0,185.0,43.0 BOX,7009.0,"",0.0
dhura bhogal,,"",235.0,255.0,5.0 PCS,1175.0,"",0.0
dhura bm,,"",210.0,250.0,2.0 BOX,420.0,"",0.0
dhura metro,,"",180.0,200.0,25.0 BOX,4500.0,"",0.0
dhura neelam,,"",160.0,180.0,-2.0 BOX,-320.0,"",0.0
dhura nijam,,"",158.0,180.0,0.0 BOX,0.0,"",0.0
dhura simran,,"",138.0,165.0,19.0 BOX,2622.0,"",0.0
dhura uplift,,"",163.0,180.0,37.0 BOX,6031.0,"",0.0
dhura uplift black,,"",155.0,180.0,1.0 BOX,155.0,"",0.0
digital meter,,"",170.0,230.0,0.0 PCS,0.0,"",0.0
dish bolt,,"",80.0,130.0,3.0 PKT,240.0,"",0.0
dish choodi,,"",18.0,35.0,10.0 PCS,180.0,"",0.0
dish frame bolt,,"",4.0,4.5,0.0 PCS,0.0,"",0.0
dish leather,,"",14.0,38.0,1115.0 SET,15610.0,"",0.0
dish leather card pack,,"",22.0,38.0,56.0 PAIR,1232.0,"",0.0
dish machine front ,,"",72.0,120.0,5.0 PCS,360.0,"",0.0
dish machine heavy,,"",117.0,160.0,13.0 PCS,1521.0,"",0.0
dish machine rear,,"",72.0,120.0,13.0 PCS,936.0,"",0.0
dish plate,,"",55.0,90.0,7.0 PCS,385.0,"",0.0
dish wire rear,,"",18.0,28.0,60.0 PCS,1080.0,"",0.0
draw bolt,,"",210.0,260.0,8.5 BOX,1785.0,"",0.0
draw bolt ranger 100pc ,,"",102.0,150.0,4.65 BOX,474.3,"",0.0
draw nut,,"",25.0,45.0,9.0 UNT,225.0,"",0.0
footrest ,,"",14.8,22.0,15.0 PAIR,222.0,"",0.0
footrest alloy,,"",40.0,50.0,13.0 PAIR,520.0,"",0.0
fot pump china ,,"",250.0,0.0,5.0 PCS,1250.0,"",0.0
frame bolt,,"",180.0,280.0,5.84 BOX,1051.2,"",0.0
frame bush hero,,"",75.0,88.0,1.0 PCS,75.0,"",0.0
frame chidiya,,"",4.0,5.0,100.0 PCS,400.0,"",0.0
frame collar,,"",75.0,105.0,10.0 BOX,750.0,"",0.0
frame tar,,"",12.0,15.0,71.0 PCS,852.0,"",0.0
freewheel 18t hercules,,"",35.25,43.0,0.0 PCS,0.0,"",0.0
freewheel 18t metro ,,"",40.0,46.0,90.0 PCS,3600.0,"",0.0
freewheel 18t ssw,,"",35.0,40.0,120.0 PCS,4200.0,"",0.0
freewheel 20t Hercules ,,"",40.0,55.0,0.0 PCS,0.0,"",0.0
freewheel 20t ssw,,"",41.25,45.0,126.0 PCS,5197.5,"",0.0
freewheel bm 18t,,"",44.5,55.0,30.0 PCS,1335.0,"",0.0
freewheel chabi,,"",9.5,13.0,37.0 PCS,351.5,"",0.0
freewheel hero18t,,"",38.0,41.0,110.0 PCS,4180.0,"",0.0
freewheel machine heavy,,"",155.0,175.0,1.0 PCS,155.0,"",0.0
freewheel masco,,"",44.5,52.0,10.0 PCS,445.0,"",0.0
freewheel metro 20t,,"",52.0,58.0,20.0 PCS,1040.0,"",0.0
front wire,,"",4.0,12.0,0.0 PCS,0.0,"",0.0
gear chain Shimanoo,,"",95.0,130.0,4.0 PCS,380.0,"",0.0
gear chain maya,,"",65.0,80.0,1.0 PCS,65.0,"",0.0
gear cover 5 hole,,"",12.0,28.0,68.0 PCS,816.0,"",0.0
gear freewheel shimanoo 7 speed,,"",160.0,250.0,5.0 PCS,800.0,"",0.0
gear rd,,"",95.0,160.0,10.0 PCS,950.0,"",0.0
gear set 22 inch,,"",152.0,180.0,20.0 PCS,3040.0,"",0.0
gear shifter,,"",250.0,400.0,18.5 SET,4625.0,"",0.0
gear wire inner ,,"",6.5,10.0,0.0 PCS,0.0,"",0.0
gearset 20 inch,,"",145.0,170.0,12.0 PCS,1740.0,"",0.0
gearset kid,,"",92.0,120.0,5.0 PCS,460.0,"",0.0
gel cover heavy,,"",82.0,110.0,0.0 PCS,0.0,"",0.0
gel cover std. ,,"",67.0,90.0,0.0 PCS,0.0,"",0.0
ghanti badi,,"",35.0,38.5,95.0 PCS,3325.0,"",0.0
ghanti badi bablu,,"",34.4,37.0,250.0 PCS,8600.0,"",0.0
ghanti bolt,,"",180.0,200.0,0.0 BOX,0.0,"",0.0
ghanti clip,,"",220.0,300.0,2.15 BOX,473.0,"",0.0
ghanti garari bablu,,"",29.5,35.0,122.0 PCS,3599.0,"",0.0
ghanti garari belga,,"",31.0,35.0,224.0 PCS,6944.0,"",0.0
ghanti garari heavy professor,,"",33.0,39.0,27.0 PCS,891.0,"",0.0
ghanti garari pawan white,,"",37.0,41.0,60.0 PCS,2220.0,"",0.0
ghanti garari tubox hd,,"",29.0,37.0,0.0 PCS,0.0,"",0.0
ghanti garari uplift,,"",29.0,36.0,0.0 PCS,0.0,"",0.0
ghanti happy china,,"",22.0,34.0,18.0 PCS,396.0,"",0.0
ghanti kid,,"",28.0,35.0,14.0 PCS,392.0,"",0.0
ghanti lady,,"",30.0,35.0,335.0 PCS,10050.0,"",0.0
ghanti revolve china,,"",22.0,38.0,19.0 PCS,418.0,"",0.0
ghanti rk-50 badi,,"",38.0,40.0,102.0 PCS,3876.0,"",0.0
ghogha,,"",6.25,8.0,90.0 PCS,562.5,"",0.0
ghori bolt,,"",145.0,210.0,22.5 BOX,3262.5,"",0.0
ghori nut,,"",50.0,85.0,6.0 UNT,300.0,"",0.0
grease 100g,,"",12.5,16.0,0.0 PKT,0.0,"",0.0
grease 200 g,,"",24.0,25.0,0.0 BOX,0.0,"",0.0
grease acp,,"",80.0,90.0,15.0 BOX,1200.0,"",0.0
grease kats,,"",68.0,85.0,0.0 PCS,0.0,"",0.0
grease pouch 200g,,"",33.0,40.0,0.0 PKT,0.0,"",0.0
grease tvs,,"",62.0,80.0,16.0 BOX,992.0,"",0.0
grip  finger nylon,,"",85.0,120.0,0.0 PKT,0.0,"",0.0
grip bubble,,"",115.0,135.0,0.0 PCS,0.0,"",0.0
grip chand tara 2nd,,"",115.0,135.0,4.0 PKT,460.0,"",0.0
grip chand tara heavy satyam,,"",162.0,185.0,10.0 PKT,1620.0,"",0.0
grip machli,,"",115.0,135.0,-4.5 PKT,-517.5,"",0.0
grip ranger ring,,"",100.0,210.0,4.0 PKT,400.0,"",0.0
grip red rose,,"",115.0,150.0,4.0 PCS,460.0,"",0.0
grip rua wali,,"",93.0,105.0,67.0 PKT,6231.0,"",0.0
gutka 24pc olympic,,"",73.4,80.0,134.0 BOX,9835.6,"",0.0
gutka dawur,,"",138.5,170.0,22.0 PCS,3047.0,"",0.0
gutka impact 100 pc,,"",165.0,240.0,-1.0 BOX,-165.0,"",0.0
gutka impact ashoka 50pc,,"",85.0,125.0,7.0 BOX,595.0,"",0.0
gutka power ,,"",220.0,325.0,16.0 BOX,3520.0,"",0.0
gutka ramous,,"",162.0,200.0,0.0 BOX,0.0,"",0.0
gutka ranger,,"",102.0,140.0,8.8 BOX,897.6,"",0.0
gutka rubber,,"",43.0,52.0,1.0 BOX,43.0,"",0.0
gutka tide 50pc,,"",150.0,170.0,0.0 BOX,0.0,"",0.0
gutka uplift 50pc,,"",142.0,170.0,-1.0 BOX,-142.0,"",0.0
gutka vimson hd,,"",174.0,210.0,3.0 BOX,522.0,"",0.0
handke spring L 100 pc supreme,,"",112.0,180.0,0.0 BOX,0.0,"",0.0
handle 20.175,,"",100.0,130.0,3.0 PCS,300.0,"",0.0
handle 20inch,,"",215.0,240.0,4.0 PCS,860.0,"",0.0
handle 22 inch,,"",220.0,0.0,10.0 PCS,2200.0,"",0.0
handle grip finger ramous,,"",77.0,110.0,17.0 BOX,1309.0,"",0.0
handle grip plain ramous,,"",72.0,110.0,19.0 BOX,1368.0,"",0.0
handle lever back,,"",3.2,0.0,100.0 PCS,320.0,"",0.0
handle lever front,,"",3.1,0.0,100.0 PCS,310.0,"",0.0
handle ranger,,"",112.0,140.0,6.0 PCS,672.0,"",0.0
handle ranger heavy chandan,,"",130.0,165.0,0.0 PCS,0.0,"",0.0
handle rod,,"",180.0,230.0,6.0 BOX,1080.0,"",0.0
handle spring L ramous,,"",52.0,95.0,-2.0 BOX,-104.0,"",0.0
handle spring R ramous,,"",52.0,100.0,7.0 BOX,364.0,"",0.0
handle tar,,"",210.0,245.0,5.26 BOX,1104.6,"",0.0
horn 7588 1st quality,,"",117.0,160.0,28.0 PCS,3276.0,"",0.0
horn baraf wale,,"",112.5,130.0,17.0 PCS,1912.5,"",0.0
horn charging,,"",94.0,150.0,2.0 PCS,188.0,"",0.0
horn charging box,,"",100.0,120.0,55.0 PCS,5500.0,"",0.0
horn led mix,,"",75.0,100.0,28.0 PCS,2100.0,"",0.0
horn machli,,"",92.0,110.0,1.0 PCS,92.0,"",0.0
horn rubber,,"",51.4,60.0,49.0 PCS,2518.6,"",0.0
horn siren,,"",45.0,65.0,6.0 PCS,270.0,"",0.0
hub 10g metro,,"",53.0,63.0,1.0 PCS,53.0,"",0.0
hub 10g uplift,,"",51.0,56.0,35.0 PCS,1785.0,"",0.0
hub 12g dass,,"",53.5,58.0,1.0 PCS,53.5,"",0.0
hub 12g metro,,"",53.0,58.0,0.0 PCS,0.0,"",0.0
hub 12g samster,,"",48.0,58.0,76.0 PCS,3648.0,"",0.0
hub 12g sunshine,,"",48.0,54.0,4.0 PCS,192.0,"",0.0
hub 12g uplift,,"",50.0,58.0,-1.0 PCS,-50.0,"",0.0
hub 13g metro,,"",52.0,58.0,6.0 PCS,312.0,"",0.0
hub 13g rdi,,"",47.0,58.0,38.0 PCS,1786.0,"",0.0
hub 28hole,,"",48.0,56.0,0.0 PCS,0.0,"",0.0
hub 40h front,,"",44.0,58.0,27.0 PCS,1188.0,"",0.0
hub axle 26.400,,"",42.0,50.0,0.0 PCS,0.0,"",0.0
hub cone bhogal,,"",315.0,380.0,5.5 BOX,1732.5,"",0.0
hub cone pic 100 pc,,"",215.0,0.0,5.0 BOX,1075.0,"",0.0
hub cone uplift,,"",126.5,150.0,44.0 BOX,5566.0,"",0.0
hub dhura nut,,"",160.0,210.0,3.75 BOX,600.0,"",0.0
hub front,,"",41.5,55.0,11.0 PCS,456.5,"",0.0
hub pyali bhogal,,"",305.0,380.0,7.0 BOX,2135.0,"",0.0
hub pyali plain,,"",138.0,160.0,6.0 BOX,828.0,"",0.0
hub pyali plain bhogal,,"",305.0,390.0,2.5 BOX,762.5,"",0.0
hub pyali rolin,,"",145.0,145.0,30.0 BOX,4350.0,"",0.0
hub pyali uplift,,"",146.5,160.0,15.76 BOX,2308.84,"",0.0
hub ranger,,"",46.0,60.0,4.0 PCS,184.0,"",0.0
jhoola bolt,,"",195.0,240.0,5.0 BOX,975.0,"",0.0
jhoola bolt gavri,,"",205.0,240.0,1.0 BOX,205.0,"",0.0
jhoola bolt simran,,"",165.0,215.0,5.0 BOX,825.0,"",0.0
kaichi 14*1.75,,"",86.0,125.0,8.0 PCS,688.0,"",0.0
kaichi 16.175,,"",92.0,125.0,13.0 PCS,1196.0,"",0.0
kaichi 20.175 ranger,,"",101.0,135.0,31.0 PCS,3131.0,"",0.0
kaichi 20.240 power,,"",120.0,160.0,4.0 PCS,480.0,"",0.0
kaichi 20inch,,"",122.0,135.0,17.0 PCS,2074.0,"",0.0
kaichi 22 dk gold,,"",182.0,220.0,0.0 PCS,0.0,"",0.0
kaichi 22 inch,,"",123.0,135.0,89.0 PCS,10947.0,"",0.0
kaichi 24.1/2 kd,,"",175.0,200.0,0.0 PCS,0.0,"",0.0
kaichi 24.175,,"",112.0,150.0,8.0 PCS,896.0,"",0.0
kaichi 26.175 power,,"",130.0,180.0,0.0 PCS,0.0,"",0.0
kaichi 26.300 std.,,"",150.0,0.0,4.0 PCS,600.0,"",0.0
kaichi bolt uplift,,"",190.0,245.0,7.0 BOX,1330.0,"",0.0
kaichi kd,,"",221.0,250.0,14.0 PCS,3094.0,"",0.0
kaichi kd 20inch,,"",190.0,210.0,2.0 PCS,380.0,"",0.0
kaichi kk 20inch 1.2 kg,,"",140.0,160.0,4.0 PCS,560.0,"",0.0
kaichi kk 22inch 1.2 kg,,"",140.0,165.0,0.0 PCS,0.0,"",0.0
kaichi kw 2nd,,"",180.0,210.0,10.0 PCS,1800.0,"",0.0
kaichi lady long pipe,,"",125.0,150.0,8.0 PCS,1000.0,"",0.0
kaichi panda,,"",107.0,135.0,1.0 PCS,107.0,"",0.0
kaichi power brake heavy,,"",180.0,220.0,1.0 PCS,180.0,"",0.0
kaichi pyali 1/8 craze ,,"",92.0,135.0,0.0 BOX,0.0,"",0.0
kaichi pyali 5/32 craze,,"",92.0,135.0,0.0 BOX,0.0,"",0.0
kaichi pyali autowok,,"",115.0,140.0,4.0 PCS,460.0,"",0.0
kaichi pyali bm,,"",142.0,150.0,9.0 PCS,1278.0,"",0.0
kaichi pyali chandan ,,"",120.0,145.0,0.0 BOX,0.0,"",0.0
kaichi pyali minar 1/8,,"",102.0,130.0,5.0 BOX,510.0,"",0.0
kaichi pyali minar 5/32,,"",102.0,130.0,28.0 BOX,2856.0,"",0.0
kaichi pyali uplift silver,,"",92.0,135.0,-1.0 BOX,-92.0,"",0.0
kaichi racer 1/8 chandan,,"",8.25,13.0,20.0 PCS,165.0,"",0.0
kaichi racer 5/32 chandan,,"",8.25,14.0,20.0 PCS,165.0,"",0.0
kaichi ranger 26*1.75,,"",111.0,150.0,32.0 PCS,3552.0,"",0.0
kaichi soker 26.240,,"",400.0,600.0,10.0 PCS,4000.0,"",0.0
kaichi soker 26.240 without choodi,,"",440.0,640.0,0.0 PCS,0.0,"",0.0
kaichi soker 26.300,,"",440.0,600.0,7.0 PCS,3080.0,"",0.0
kaichi soker 26.300 long pipe,,"",480.0,620.0,0.0 PCS,0.0,"",0.0
kaichi soker 26.300 w/o choodi,,"",570.0,670.0,7.0 PCS,3990.0,"",0.0
kalai bolt,,"",75.0,110.0,21.0 BOX,1575.0,"",0.0
kalai nut,,"",50.0,65.0,10.0 PKT,500.0,"",0.0
kaneksion china color skg,,"",13.0,20.0,54.0 PCS,702.0,"",0.0
kaneksion china color std. ,,"",12.5,20.0,35.0 PCS,437.5,"",0.0
kaneksion china cotton,,"",11.0,15.0,1.0 PCS,11.0,"",0.0
kaneksion china white 1st,,"",15.0,25.0,71.0 PCS,1065.0,"",0.0
kaneksion china white 2nd skg,,"",14.0,24.0,58.0 PCS,812.0,"",0.0
kaneksion cotton desi,,"",12.0,25.0,0.0 PCS,0.0,"",0.0
kaneksion pehalwan cotton heavy ,,"",28.5,37.0,23.0 PCS,655.5,"",0.0
kaneksion pehalwan cotton skg,,"",27.0,33.5,91.0 PCS,2457.0,"",0.0
kaneksion pehalwan lite ,,"",20.5,30.0,33.0 PCS,676.5,"",0.0
kaneksion pvc fit complete,,"",212.0,290.0,14.5834 PKT,3091.68,"",0.0
kaneksion pvc sada,,"",112.0,150.0,0.5 DOZ,56.0,"",0.0
kerial 20inch dinesh,,"",105.0,145.0,13.0 PCS,1365.0,"",0.0
kerial 22inch dinesh,,"",155.0,165.0,0.0 PCS,0.0,"",0.0
kerial 22inch siko ,,"",170.0,173.0,32.0 PCS,5440.0,"",0.0
kerial bolt dinesh,,"",145.0,220.0,8.87 PCS,1286.15,"",0.0
kerial fitting,,"",270.0,325.0,5.0 BOX,1350.0,"",0.0
kerial patti,,"",4.25,4.5,90.0 PCS,382.5,"",0.0
kerial ranger heavy pipe wala,,"",122.0,160.0,0.0 PCS,0.0,"",0.0
kerial rod,,"",25.0,33.0,32.0 PCS,800.0,"",0.0
kerial spring,,"",10.0,14.0,66.0 PCS,660.0,"",0.0
kid bike goda popcorn,,"",340.0,425.0,4.0 PCS,1360.0,"",0.0
kid bike happy birthday,,"",700.0,780.0,0.0 PCS,0.0,"",0.0
kid bike java,,"",900.0,950.0,2.0 PCS,1800.0,"",0.0
kid bike q rider,,"",850.0,900.0,0.0 PCS,0.0,"",0.0
kid clutch power ac,,"",29.0,40.0,27.0 PAIR,783.0,"",0.0
kowa plas,,"",92.0,135.0,18.0 PCS,1656.0,"",0.0
kqichi pyali balco,,"",102.0,125.0,20.0 BOX,2040.0,"",0.0
kutta,,"",37.0,40.0,0.0 UNT,0.0,"",0.0
l key 4 no,,"",5.5,14.0,21.0 PCS,115.5,"",0.0
l key 6no.,,"",7.5,15.0,37.0 PCS,277.5,"",0.0
lady basket,,"",145.0,145.0,0.0 PCS,0.0,"",0.0
long moti ,,"",11.0,15.0,17.0 PKT,187.0,"",0.0
lota pump piston set,,"",10.0,15.0,10.0 PCS,100.0,"",0.0
lota pump washer,,"",5.0,7.0,78.0 PCS,390.0,"",0.0
mega hub ,,"",96.0,115.0,3.0 PCS,288.0,"",0.0
mega hub fat bike,,"",275.0,350.0,1.0 PAIR,275.0,"",0.0
mega hub front,,"",84.0,120.0,4.0 PCS,336.0,"",0.0
moti amol,,"",100.0,125.0,5.0 PKT,500.0,"",0.0
moti cheap,,"",65.0,105.0,7.0 PKT,455.0,"",0.0
moti std. ,,"",74.5,120.0,59.0 PKT,4395.5,"",0.0
motorcycle val pin,,"",70.0,110.0,19.0 PKT,1330.0,"",0.0
mudgard 20inch,,"",100.0,120.0,25.0 PAIR,2500.0,"",0.0
mudgard 22inch,,"",70.0,90.0,16.0 PAIR,1120.0,"",0.0
mudgard bolt 1inch metro,,"",80.0,84.0,-3.0 BOX,-240.0,"",0.0
mudgard bolt 1inch tigr 200pc,,"",118.0,150.0,0.0 BOX,0.0,"",0.0
mudgard bolt 1inch uplift,,"",60.0,80.0,24.0 UNT,1440.0,"",0.0
mudgard bolt 3/4inch,,"",57.0,70.0,24.0 BOX,1368.0,"",0.0
mudgard bolt guru,,"",50.0,58.0,-3.0 UNT,-150.0,"",0.0
mudgard bolt mix Olympic,,"",51.0,60.0,0.0 BOX,0.0,"",0.0
mudgard bolt mix metro,,"",80.0,85.0,49.0 BOX,3920.0,"",0.0
mudgard bolt mix simran,,"",48.0,56.0,158.0 BOX,7584.0,"",0.0
mudgard bolt mix tiger 200pc,,"",118.0,135.0,30.0 BOX,3540.0,"",0.0
mudgard clump,,"",270.0,350.0,2.8 PCS,756.0,"",0.0
mudgard front,,"",30.0,38.0,4.0 PCS,120.0,"",0.0
mudgard front 20inch,,"",41.0,55.0,22.0 PCS,902.0,"",0.0
mudgard patti agli,,"",98.0,150.0,12.75 BOX,1249.5,"",0.0
